Mundial,Campeon,Posicion,Edad_Promedio
1986,Argentina,Defensa,27.57
1986,Argentina,Delantero,28.07
1986,Argentina,Mediocampista,26.17
1986,Argentina,Portero,26.1
1990,West Germany,Defensa,28.65
1990,West Germany,Delantero,28.17
1990,West Germany,Mediocampista,27.06
1990,West Germany,Portero,26.03
1994,Brazil,Defensa,28.3
1994,Brazil,Delantero,25.88
1994,Brazil,Mediocampista,27.68
1994,Brazil,Portero,30.97
1998,France,Defensa,28.72
1998,France,Delantero,23.88
1998,France,Mediocampista,26.64
1998,France,Portero,31.27
2002,Brazil,Defensa,26.86
2002,Brazil,Delantero,26.92
2002,Brazil,Mediocampista,25.55
2002,Brazil,Portero,28.93
2006,Italy,Defensa,29.14
2006,Italy,Delantero,28.92
2006,Italy,Mediocampista,27.48
2006,Italy,Portero,29.63
2010,Spain,Defensa,27.9
2010,Spain,Delantero,25.72
2010,Spain,Mediocampista,24.77
2010,Spain,Portero,28.43
2014,Germany,Defensa,25.39
2014,Germany,Delantero,28.32
2014,Germany,Mediocampista,24.74
2014,Germany,Portero,29.1
2018,France,Defensa,24.91
2018,France,Delantero,24.63
2018,France,Mediocampista,27.4
2018,France,Portero,30.0
2022,Argentina,Defensa,28.03
2022,Argentina,Delantero,29.15
2022,Argentina,Mediocampista,26.46
2022,Argentina,Portero,32.27
